,Year_Birth,Education,Status,Income,Registration_date,Recency,Mnt_Fruits,Mnt_Meat,Mnt_sweet,Mnt_Wines,Mnt_Gold_Products,Mnt_Fish,Num_Web_Purchases,Num_Store_Purchases,Num_Deals_Purchases,Num_Catalog_Purchases,Num_Web_Visits,Response_Campaign_1,Response_Campaign_2,Response_Campaign_3,Response_Campaign_4,Response_Campaign_5,Response,Children
0,3,Graduation,Married,0,06/01/2013,42,1.0,1.0,1725.0,1.0,1.0,1.0,15.0,0.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,1.0
1,2,Graduation,Divorced,0,18/05/2014,65,1.0,1.0,3.0,1.0,1.0,1.0,15.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2,3,Graduation,Single,0,18/09/2012,62,73.0,18.0,66.0,7.0,12.0,2.0,15.0,0.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0,0.0
3,2,2n Cycle,Together,3,23/01/2013,76,515.0,47.0,181.0,149.0,95.0,95.0,15.0,9.0,6.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0,2.0
4,3,PhD,Married,4,04/08/2012,21,55.0,16.0,1622.0,17.0,3.0,4.0,15.0,0.0,28.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0.0
5,2,PhD,Married,4,01/03/2014,98,20.0,2.0,1582.0,1.0,2.0,1.0,15.0,0.0,22.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0,1.0
6,1,PhD,Married,0,23/06/2014,29,5.0,0.0,1.0,1.0,1.0,1.0,15.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0,2.0
7,1,Master,Together,2,08/01/2013,88,285.0,28.0,242.0,55.0,114.0,135.0,13.0,6.0,2.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0,2.0
8,2,Master,Married,2,05/11/2012,74,539.0,6.0,91.0,8.0,6.0,97.0,13.0,8.0,2.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0,2.0
9,3,2n Cycle,Together,3,28/08/2012,72,600.0,21.0,128.0,223.0,150.0,128.0,13.0,2.0,2.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0,2.0
10,3,Graduation,Married,2,20/11/2012,20,490.0,0.0,184.0,10.0,28.0,21.0,12.0,7.0,4.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0,2.0
11,1,PhD,Married,3,27/03/2013,26,733.0,9.0,180.0,12.0,19.0,66.0,11.0,6.0,3.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0,3.0
12,0,Master,Married,3,01/10/2012,3,1099.0,0.0,45.0,0.0,0.0,34.0,11.0,3.0,4.0,10.0,16.0,0.0,1.0,0.0,0.0,0.0,0,2.0
13,2,Graduation,Widow,3,07/10/2012,13,488.0,23.0,71.0,15.0,0.0,59.0,11.0,8.0,3.0,7.0,14.0,0.0,1.0,0.0,0.0,0.0,1,2.0
14,0,Master,Married,3,01/10/2012,3,1099.0,0.0,45.0,0.0,0.0,34.0,11.0,3.0,4.0,10.0,16.0,0.0,1.0,0.0,0.0,0.0,1,2.0
15,0,PhD,Divorced,2,22/09/2012,55,941.0,14.0,397.0,76.0,58.0,176.0,11.0,8.0,5.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,1,1.0
16,3,Graduation,Married,1,21/07/2013,11,342.0,9.0,112.0,19.0,14.0,19.0,10.0,5.0,2.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,1,2.0
17,1,PhD,Married,2,24/09/2012,41,489.0,6.0,152.0,8.0,6.0,132.0,10.0,9.0,4.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,1,2.0
18,2,PhD,Married,3,24/06/2013,17,267.0,42.0,309.0,55.0,42.0,21.0,10.0,7.0,4.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,1,2.0
19,2,Master,Together,1,21/01/2013,21,410.0,0.0,59.0,19.0,9.0,44.0,10.0,7.0,1.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0,2.0
20,2,Graduation,Single,4,25/09/2012,98,433.0,89.0,650.0,16.0,102.0,102.0,10.0,4.0,6.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0,3.0
21,2,Master,Married,1,05/03/2013,4,604.0,0.0,100.0,19.0,0.0,28.0,9.0,10.0,2.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0,2.0
22,2,Graduation,Single,0,20/03/2013,30,231.0,7.0,137.0,4.0,15.0,39.0,9.0,5.0,1.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,1,2.0
23,1,Graduation,Single,2,16/01/2013,64,313.0,8.0,104.0,6.0,4.0,126.0,9.0,8.0,1.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0,2.0
24,1,Graduation,Together,2,01/04/2013,46,230.0,14.0,156.0,82.0,24.0,58.0,8.0,9.0,2.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0,2.0
25,0,2n Cycle,Single,3,10/06/2013,51,480.0,86.0,249.0,75.0,86.0,144.0,8.0,6.0,3.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0,2.0
26,2,PhD,Married,1,05/10/2012,70,224.0,0.0,30.0,0.0,0.0,10.0,8.0,5.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0,2.0
27,2,Graduation,Single,2,12/02/2013,49,280.0,7.0,81.0,20.0,0.0,27.0,8.0,6.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0,2.0
28,2,Master,Married,2,19/03/2013,51,464.0,5.0,64.0,7.0,0.0,70.0,8.0,9.0,1.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0,2.0
29,1,2n Cycle,Divorced,3,03/08/2012,52,1215.0,33.0,249.0,64.0,116.0,149.0,8.0,8.0,9.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0,1.0
30,1,Graduation,Single,1,24/04/2013,9,392.0,5.0,91.0,28.0,26.0,112.0,8.0,7.0,3.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,1,2.0
31,1,PhD,Married,2,17/02/2013,72,686.0,17.0,142.0,23.0,26.0,35.0,8.0,6.0,4.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0,1.0
32,3,Graduation,Married,3,24/03/2013,87,457.0,5.0,106.0,15.0,17.0,53.0,8.0,11.0,1.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0,2.0
33,0,PhD,Together,2,07/08/2012,60,349.0,4.0,78.0,6.0,0.0,43.0,8.0,7.0,2.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0,2.0
34,2,Graduation,Divorced,3,03/06/2014,23,641.0,7.0,56.0,0.0,0.0,28.0,8.0,10.0,4.0,6.0,16.0,0.0,1.0,0.0,1.0,0.0,0,1.0
35,2,Graduation,Together,2,22/07/2013,37,771.0,51.0,154.0,54.0,10.0,154.0,7.0,11.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,1.0
36,0,Graduation,Together,1,18/03/2013,69,270.0,3.0,27.0,39.0,6.0,99.0,7.0,7.0,1.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0,1.0
37,3,Graduation,Single,0,07/03/2013,51,154.0,20.0,66.0,0.0,12.0,27.0,7.0,6.0,1.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0,1.0
38,0,Graduation,Married,1,18/03/2013,69,270.0,3.0,27.0,39.0,6.0,99.0,7.0,7.0,1.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0,1.0
39,1,Graduation,Divorced,0,18/12/2012,54,165.0,3.0,147.0,4.0,24.0,41.0,7.0,6.0,2.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,1,2.0
40,1,Master,Married,2,11/10/2013,60,292.0,3.0,77.0,10.0,3.0,26.0,7.0,6.0,3.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0,3.0
